,gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
802,female,group E,associate's degree,standard,none,87,94,95
803,female,group B,some college,standard,none,82,85,87
804,female,group C,some college,standard,none,73,76,78
805,male,group A,some college,free/reduced,none,75,81,74
806,female,group D,some college,free/reduced,none,64,74,75
807,female,group E,high school,free/reduced,none,41,45,40
808,male,group C,high school,standard,none,90,75,69
809,male,group B,bachelor's degree,standard,none,59,54,51
810,male,group A,some high school,standard,none,51,31,36
811,male,group A,high school,free/reduced,none,45,47,49
812,female,group C,master's degree,standard,completed,54,64,67
813,male,group E,some high school,standard,completed,87,84,76
814,female,group C,high school,standard,none,72,80,83
815,male,group B,some high school,standard,completed,94,86,87
816,female,group A,bachelor's degree,standard,none,45,59,64
817,male,group D,bachelor's degree,free/reduced,completed,61,70,76
818,female,group B,high school,free/reduced,none,60,72,68
819,female,group C,some high school,standard,none,77,91,88
820,female,group A,some high school,standard,completed,85,90,92
821,female,group D,bachelor's degree,free/reduced,none,78,90,93
822,male,group E,some college,free/reduced,completed,49,52,51
823,female,group B,high school,free/reduced,none,71,87,82
824,female,group C,some high school,free/reduced,none,48,58,52
825,male,group C,high school,standard,none,62,67,58
826,female,group C,associate's degree,free/reduced,completed,56,68,70
827,female,group C,some high school,standard,none,65,69,76
828,female,group D,some high school,free/reduced,completed,69,86,81
829,male,group B,some high school,standard,none,68,54,53
830,female,group A,some college,free/reduced,none,61,60,57
831,female,group C,bachelor's degree,free/reduced,completed,74,86,89
832,male,group A,bachelor's degree,standard,none,64,60,58
833,female,group B,high school,standard,completed,77,82,89
834,male,group B,some college,standard,none,58,50,45
835,female,group C,high school,standard,completed,60,64,74
836,male,group E,high school,standard,none,73,64,57
837,female,group A,high school,standard,completed,75,82,79
838,male,group B,associate's degree,free/reduced,completed,58,57,53
839,female,group C,associate's degree,standard,none,66,77,73
840,female,group D,high school,free/reduced,none,39,52,46
841,male,group C,some high school,standard,none,64,58,51
842,female,group B,high school,free/reduced,completed,23,44,36
843,male,group B,some college,free/reduced,completed,74,77,76
844,female,group D,some high school,free/reduced,completed,40,65,64
845,male,group E,master's degree,standard,none,90,85,84
846,male,group C,master's degree,standard,completed,91,85,85
847,male,group D,high school,standard,none,64,54,50
848,female,group C,high school,standard,none,59,72,68
849,male,group D,associate's degree,standard,none,80,75,69
850,male,group C,master's degree,standard,none,71,67,67
851,female,group A,high school,standard,none,61,68,63
852,female,group E,some college,standard,none,87,85,93
853,male,group E,some high school,standard,none,82,67,61
854,male,group C,some high school,standard,none,62,64,55
855,female,group B,bachelor's degree,standard,none,97,97,96
856,male,group B,some college,free/reduced,none,75,68,65
857,female,group C,bachelor's degree,standard,none,65,79,81
858,male,group B,high school,standard,completed,52,49,46
859,male,group C,associate's degree,free/reduced,none,87,73,72
860,female,group C,associate's degree,standard,none,53,62,53
861,female,group E,master's degree,free/reduced,none,81,86,87
862,male,group D,bachelor's degree,free/reduced,completed,39,42,38
863,female,group C,some college,standard,completed,71,71,80
864,male,group C,associate's degree,standard,none,97,93,91
865,male,group D,some college,standard,completed,82,82,88
866,male,group C,high school,free/reduced,none,59,53,52
867,male,group B,associate's degree,standard,none,61,42,41
868,male,group E,associate's degree,free/reduced,completed,78,74,72
869,male,group C,associate's degree,free/reduced,none,49,51,51
870,male,group B,high school,standard,none,59,58,47
871,female,group C,some college,standard,completed,70,72,76
872,male,group B,associate's degree,standard,completed,82,84,78
873,male,group E,associate's degree,free/reduced,none,90,90,82
874,female,group C,bachelor's degree,free/reduced,none,43,62,61
875,male,group C,some college,free/reduced,none,80,64,66
876,male,group D,some college,standard,none,81,82,84
877,male,group C,some high school,standard,none,57,61,54
878,female,group D,some high school,standard,none,59,72,80
879,female,group D,associate's degree,standard,none,64,76,74
880,male,group C,bachelor's degree,standard,completed,63,64,66
881,female,group E,bachelor's degree,standard,completed,71,70,70
882,female,group B,high school,free/reduced,none,64,73,71
883,male,group D,bachelor's degree,free/reduced,none,55,46,44
884,female,group E,associate's degree,standard,none,51,51,54
885,female,group C,associate's degree,standard,completed,62,76,80
886,female,group E,associate's degree,standard,completed,93,100,95
887,male,group C,high school,free/reduced,none,54,72,59
888,female,group D,some college,free/reduced,none,69,65,74
889,male,group D,high school,free/reduced,none,44,51,48
890,female,group E,some college,standard,completed,86,85,91
891,female,group E,associate's degree,standard,none,85,92,85
892,female,group A,master's degree,free/reduced,none,50,67,73
893,male,group D,some high school,standard,completed,88,74,75
894,female,group E,associate's degree,standard,none,59,62,69
895,female,group E,some high school,free/reduced,none,32,34,38
896,male,group B,high school,free/reduced,none,36,29,27
897,female,group B,some high school,free/reduced,completed,63,78,79
898,male,group D,associate's degree,standard,completed,67,54,63
899,female,group D,some high school,standard,completed,65,78,82
900,male,group D,master's degree,standard,none,85,84,89
901,female,group C,master's degree,standard,none,73,78,74
902,female,group A,high school,free/reduced,completed,34,48,41
903,female,group D,bachelor's degree,free/reduced,completed,93,100,100
904,female,group D,some high school,free/reduced,none,67,84,84
905,male,group D,some college,standard,none,88,77,77
906,male,group B,high school,standard,none,57,48,51
907,female,group D,some college,standard,completed,79,84,91
908,female,group C,bachelor's degree,free/reduced,none,67,75,72
909,male,group E,bachelor's degree,standard,completed,70,64,70
910,male,group D,bachelor's degree,free/reduced,none,50,42,48
911,female,group A,some college,standard,none,69,84,82
912,female,group C,bachelor's degree,standard,completed,52,61,66
913,female,group C,bachelor's degree,free/reduced,completed,47,62,66
914,female,group B,associate's degree,free/reduced,none,46,61,55
915,female,group E,some college,standard,none,68,70,66
916,male,group E,bachelor's degree,standard,completed,100,100,100
917,female,group C,high school,standard,none,44,61,52
918,female,group C,associate's degree,standard,completed,57,77,80
919,male,group B,some college,standard,completed,91,96,91
920,male,group D,high school,free/reduced,none,69,70,67
921,female,group C,high school,free/reduced,none,35,53,46
922,male,group D,high school,standard,none,72,66,66
923,female,group B,associate's degree,free/reduced,none,54,65,65
924,male,group D,high school,free/reduced,none,74,70,69
925,male,group E,some high school,standard,completed,74,64,60
926,male,group E,associate's degree,free/reduced,none,64,56,52
927,female,group D,high school,free/reduced,completed,65,61,71
928,male,group E,associate's degree,free/reduced,completed,46,43,44
929,female,group C,some high school,free/reduced,none,48,56,51
930,male,group C,some college,free/reduced,completed,67,74,70
931,male,group D,some college,free/reduced,none,62,57,62
932,male,group D,associate's degree,free/reduced,completed,61,71,73
933,male,group C,bachelor's degree,free/reduced,completed,70,75,74
934,male,group C,associate's degree,standard,completed,98,87,90
935,male,group D,some college,free/reduced,none,70,63,58
936,male,group A,associate's degree,standard,none,67,57,53
937,female,group E,high school,free/reduced,none,57,58,57
938,male,group D,some college,standard,completed,85,81,85
939,male,group D,some high school,standard,completed,77,68,69
940,male,group C,master's degree,free/reduced,completed,72,66,72
941,female,group D,master's degree,standard,none,78,91,96
942,male,group C,high school,standard,none,81,66,64
943,male,group A,some high school,free/reduced,completed,61,62,61
944,female,group B,high school,standard,none,58,68,61
945,female,group C,associate's degree,standard,none,54,61,58
946,male,group B,high school,standard,none,82,82,80
947,female,group D,some college,free/reduced,none,49,58,60
948,male,group B,some high school,free/reduced,completed,49,50,52
949,female,group E,high school,free/reduced,completed,57,75,73
950,male,group E,high school,standard,none,94,73,71
951,female,group D,some college,standard,completed,75,77,83
952,female,group E,some high school,free/reduced,none,74,74,72
953,male,group C,high school,standard,completed,58,52,54
954,female,group C,some college,standard,none,62,69,69
955,male,group E,associate's degree,standard,none,72,57,62
956,male,group C,some college,standard,none,84,87,81
957,female,group D,master's degree,standard,none,92,100,100
958,female,group D,high school,standard,none,45,63,59
959,male,group C,high school,standard,none,75,81,71
960,female,group A,some college,standard,none,56,58,64
961,female,group D,some high school,free/reduced,none,48,54,53
962,female,group E,associate's degree,standard,none,100,100,100
963,female,group C,some high school,free/reduced,completed,65,76,75
964,male,group D,some college,standard,none,72,57,58
965,female,group D,some college,standard,none,62,70,72
966,male,group A,some high school,standard,completed,66,68,64
967,male,group C,some college,standard,none,63,63,60
968,female,group E,associate's degree,standard,none,68,76,67
969,female,group B,bachelor's degree,standard,none,75,84,80
970,female,group D,bachelor's degree,standard,none,89,100,100
971,male,group C,some high school,standard,completed,78,72,69
972,female,group A,high school,free/reduced,completed,53,50,60
973,female,group D,some college,free/reduced,none,49,65,61
974,female,group A,some college,standard,none,54,63,67
975,female,group C,some college,standard,completed,64,82,77
976,male,group B,some college,free/reduced,completed,60,62,60
977,male,group C,associate's degree,standard,none,62,65,58
978,male,group D,high school,standard,completed,55,41,48
979,female,group C,associate's degree,standard,none,91,95,94
980,female,group B,high school,free/reduced,none,8,24,23
981,male,group D,some high school,standard,none,81,78,78
982,male,group B,some high school,standard,completed,79,85,86
983,female,group A,some college,standard,completed,78,87,91
984,female,group C,some high school,standard,none,74,75,82
985,male,group A,high school,standard,none,57,51,54
986,female,group C,associate's degree,standard,none,40,59,51
987,male,group E,some high school,standard,completed,81,75,76
988,female,group A,some high school,free/reduced,none,44,45,45
989,female,group D,some college,free/reduced,completed,67,86,83
990,male,group E,high school,free/reduced,completed,86,81,75
991,female,group B,some high school,standard,completed,65,82,78
992,female,group D,associate's degree,free/reduced,none,55,76,76
993,female,group D,bachelor's degree,free/reduced,none,62,72,74
994,male,group A,high school,standard,none,63,63,62
995,female,group E,master's degree,standard,completed,88,99,95
996,male,group C,high school,free/reduced,none,62,55,55
997,female,group C,high school,free/reduced,completed,59,71,65
998,female,group D,some college,standard,completed,68,78,77
999,female,group D,some college,free/reduced,none,77,86,86
